BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),Has_Steam,Has_Gas,Has_Electricity,GFA_Education,GFA_Logistique_Stockage,GFA_Services_Publics_Industrie,GFA_Bureau_Finance,GFA_Commerce_Retail,GFA_Culture_Loisirs_Culte,GFA_Sante,GFA_Commerce_Alimentaire,GFA_Autre,GFA_Hotellerie_Logement,Nbhd_BALLARD,Nbhd_CENTRAL,Nbhd_DELRIDGE,Nbhd_DOWNTOWN,Nbhd_EAST,Nbhd_GREATER DUWAMISH,Nbhd_LAKE UNION,Nbhd_MAGNOLIA / QUEEN ANNE,Nbhd_NORTH,Nbhd_NORTHEAST,Nbhd_NORTHWEST,Nbhd_SOUTHEAST,Nbhd_SOUTHWEST
89,1.0,12,0,88434,7226362.5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88434.0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,1.0,11,15064,88502,8387933.0,0,1,1,0.0,15064.0,0.0,0.0,0.0,0.0,0.0,4622.0,0.0,83880.0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,1.0,41,196718,759392,72587024.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756493.0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1.0,10,0,61320,6794584.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61320.0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,1.0,18,62000,113580,14172606.0,0,1,1,0.0,68009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123445.0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,1.0,2,37198,60090,12086616.0,0,1,1,0.0,0.0,88830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1.0,11,0,83008,5758795.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81352.0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,1.0,8,0,102761,6298131.5,1,1,1,0.0,0.0,0.0,0.0,0.0,102761.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,1.0,15,0,163984,13723820.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163984.0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,1.0,11,19279,133884,16016644.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133884.0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1.0,25,61161,272015,26941110.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336640.0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,1.0,9,0,65009,6596057.5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65009.0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,1.0,33,57600,258352,22325364.0,1,1,1,0.0,57600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295511.0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,1.0,11,25200,66990,10750010.0,1,1,1,0.0,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67390.0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,1.0,11,57000,355000,18588860.0,1,0,1,0.0,49000.0,365987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,1.0,6,0,103911,9956396.0,1,1,1,0.0,0.0,0.0,40000.0,0.0,90000.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
